key,company,year,ev_ebitda,basis
NEX,Nexans SA,2025,8.11,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
NSK,NSK Ltd,2021,3.1,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
NSK,NSK Ltd,2022,1.81,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
NSK,NSK Ltd,2023,2.05,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
NSK,NSK Ltd,2024,1.46,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
NSK,NSK Ltd,2025,3.3,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
NSK,NSK Ltd,2026,8.56,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
NTN,NTN Corp,2021,8.24,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
NTN,NTN Corp,2022,6.58,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
NTN,NTN Corp,2023,5.69,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
NTN,NTN Corp,2024,4.52,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
NTN,NTN Corp,2025,6.27,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
NTN,NTN Corp,2026,5.58,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
OSK,Oshkosh,2020,11.29,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
OSK,Oshkosh,2021,11.85,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
OSK,Oshkosh,2022,16.92,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
OSK,Oshkosh,2023,7.78,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
OSK,Oshkosh,2024,6.54,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
OSK,Oshkosh,2025,7.53,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
OTIS,Otis Worldwide Corp,2020,18.2,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
OTIS,Otis Worldwide Corp,2021,16.58,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
OTIS,Otis Worldwide Corp,2022,16.82,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
OTIS,Otis Worldwide Corp,2023,17.59,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
OTIS,Otis Worldwide Corp,2024,19.67,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
OTIS,Otis Worldwide Corp,2025,17.77,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
PRY,Prysmian SpA,2020,12.19,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
PRY,Prysmian SpA,2021,12.74,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
PRY,Prysmian SpA,2022,8.4,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
PRY,Prysmian SpA,2023,6.71,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
PRY,Prysmian SpA,2024,13.83,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
PRY,Prysmian SpA,2025,11.21,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ROK,Rockwell Automation,2024,18.1,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ROK,Rockwell Automation,2025,23.21,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ROR,Rotork plc,2020,17.96,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ROR,Rotork plc,2021,21.08,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ROR,Rotork plc,2022,17.02,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ROR,Rotork plc,2023,15.61,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ROR,Rotork plc,2024,15.67,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
ROR,Rotork plc,2025,14.94,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
RR,Rolls-Royce Holdings plc,2021,10.16,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
RR,Rolls-Royce Holdings plc,2023,7.23,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
RR,Rolls-Royce Holdings plc,2024,14.6,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
RR,Rolls-Royce Holdings plc,2025,12.94,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
RTX,RTX Corp,2020,40.14,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
RTX,RTX Corp,2021,11.65,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
RTX,RTX Corp,2022,13.33,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
RTX,RTX Corp,2023,13.46,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
RTX,RTX Corp,2024,15.54,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
RTX,RTX Corp,2025,17.82,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
RXL,Rexel SA,2020,6.79,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
RXL,Rexel SA,2021,5.92,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
RXL,Rexel SA,2022,5.1,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
RXL,Rexel SA,2023,6.5,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
RXL,Rexel SA,2024,7.61,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
RXL,Rexel SA,2025,9.05,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SAND,Sandvik AB,2020,14.2,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SAND,Sandvik AB,2021,13.77,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SAND,Sandvik AB,2022,11.26,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SAND,Sandvik AB,2023,10.38,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SAND,Sandvik AB,2024,10.61,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SAND,Sandvik AB,2025,14.1,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SCHP,Schindler Holding (PC),2020,16.56,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SCHP,Schindler Holding (PC),2021,14.98,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SCHP,Schindler Holding (PC),2022,13.73,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SCHP,Schindler Holding (PC),2023,11.82,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SCHP,Schindler Holding (PC),2024,15.51,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SCHP,Schindler Holding (PC),2025,16.62,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SIE,Siemens AG,2020,13.39,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SIE,Siemens AG,2021,13.84,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SIE,Siemens AG,2022,13.06,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SIE,Siemens AG,2023,11.8,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SIE,Siemens AG,2024,12.1,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SIE,Siemens AG,2025,15.4,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SKFB,SKF AB (B),2020,10.27,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SKFB,SKF AB (B),2021,7.66,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SKFB,SKF AB (B),2022,7.79,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SKFB,SKF AB (B),2023,7.08,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SKFB,SKF AB (B),2024,6.98,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SKFB,SKF AB (B),2025,10.11,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SMIN,Smiths Group plc,2020,19.12,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
SMIN,Smiths Group plc,2021,17.42,"fiscal-year fundamentals × year-end price (approximate, no consensus)"
